dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.471570,4.135806,0.095250,0.381000,0.762000,1.524000,6.270087
0.500000,1.852266,4.121502,0.476250,1.143000,1.524000,1.524000,6.223207
0.500000,2.516288,4.062099,1.143000,1.524000,0.762000,-1.524000,6.171141
0.500000,3.272581,3.969060,1.905000,1.524000,0.000000,-1.524000,6.158785
0.500000,3.981376,3.889982,2.618228,1.328911,-0.390177,-0.780355,6.192718
0.500000,4.500611,3.855592,3.138661,0.752823,-1.152177,-1.524000,6.245264
0.500000,4.735225,3.850266,3.373345,0.185911,-1.133823,0.036710,6.276470
0.500000,4.781702,3.850109,3.419823,0.000000,-0.371823,1.524000,0.000000
0.500000,4.781702,3.850109,3.419823,0.000000,0.000000,0.743645,0.000000
