dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.471570,4.137019,0.095250,0.381000,0.762000,1.524000,0.013099
0.500000,1.852266,4.151323,0.476250,1.143000,1.524000,1.524000,0.059978
0.500000,2.516288,4.210726,1.143000,1.524000,0.762000,-1.524000,0.112044
0.500000,3.272581,4.303764,1.905000,1.524000,0.000000,-1.524000,0.124400
0.500000,3.981376,4.382843,2.618228,1.328911,-0.390177,-0.780355,0.090467
0.500000,4.500611,4.417233,3.138661,0.752823,-1.152177,-1.524000,0.037921
0.500000,4.735225,4.422559,3.373345,0.185911,-1.133823,0.036710,0.006715
0.500000,4.781702,4.422715,3.419823,0.000000,-0.371823,1.524000,6.283185
0.500000,4.781702,4.422715,3.419823,0.000000,0.000000,0.743645,6.283185
