dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.466988,4.486739,0.095250,0.381000,0.762000,1.524000,0.013099
0.500000,1.831301,4.500444,0.459820,0.729141,0.696282,-0.131436,0.059978
0.500000,2.477183,4.558283,1.108286,1.296932,1.135582,0.878600,0.112044
0.500000,3.229184,4.650812,1.865959,1.515345,0.436825,-1.397513,0.124400
0.500000,3.949778,4.731163,2.591019,1.450120,-0.130448,-1.134547,0.090467
0.500000,4.487352,4.766731,3.129768,1.077498,-0.745245,-1.229593,0.037921
0.500000,4.732876,4.772301,3.375356,0.491176,-1.172645,-0.854801,0.006715
0.500000,4.781702,4.772465,3.424182,0.097653,-0.787046,0.771199,6.283185
0.500000,4.781702,4.772465,3.424182,0.000000,-0.195306,1.183480,6.283185
