dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.466988,3.786086,0.095250,0.381000,0.762000,1.524000,6.270087
0.500000,1.831301,3.772381,0.459820,0.729141,0.696282,-0.131436,6.223207
0.500000,2.477183,3.714542,1.108286,1.296932,1.135582,0.878600,6.171141
0.500000,3.229184,3.622013,1.865959,1.515345,0.436825,-1.397513,6.158785
0.500000,3.949778,3.541662,2.591019,1.450120,-0.130448,-1.134547,6.192718
0.500000,4.487352,3.506094,3.129768,1.077498,-0.745245,-1.229593,6.245264
0.500000,4.732876,3.500524,3.375356,0.491176,-1.172645,-0.854801,6.276470
0.500000,4.781702,3.500359,3.424182,0.097653,-0.787046,0.771199,0.000000
0.500000,4.781702,3.500359,3.424182,0.000000,-0.195306,1.183480,0.000000
