dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.476151,4.485526,0.095250,0.381000,0.762000,1.524000,6.270087
0.500000,1.873231,4.470623,0.492610,0.794719,0.827438,0.130877,6.223207
0.500000,2.555394,4.409656,1.177492,1.369764,1.150090,0.645302,6.171141
0.500000,3.315978,4.316108,1.943807,1.532631,0.325734,-1.648712,6.158785
0.500000,4.012973,4.238301,2.645132,1.402650,-0.259961,-1.171389,6.192718
0.500000,4.513871,4.205091,3.147130,1.003995,-0.797310,-1.074697,6.245264
0.500000,4.737574,4.200008,3.370890,0.447520,-1.112950,-0.631281,6.276470
0.500000,4.781702,4.199859,3.415019,0.088258,-0.718524,0.788853,0.000000
0.500000,4.781702,4.199859,3.415019,0.000000,-0.176516,1.084015,0.000000
