dt,x,y,position,velocity,acceleration,jerk,heading
0.500000,1.476151,3.787299,0.095250,0.381000,0.762000,1.524000,0.013099
0.500000,1.873231,3.802202,0.492610,0.794719,0.827438,0.130877,0.059978
0.500000,2.555394,3.863169,1.177492,1.369764,1.150090,0.645302,0.112044
0.500000,3.315978,3.956717,1.943807,1.532631,0.325734,-1.648712,0.124400
0.500000,4.012973,4.034523,2.645132,1.402650,-0.259961,-1.171389,0.090467
0.500000,4.513871,4.067734,3.147130,1.003995,-0.797310,-1.074697,0.037921
0.500000,4.737574,4.072817,3.370890,0.447520,-1.112950,-0.631281,0.006715
0.500000,4.781702,4.072965,3.415019,0.088258,-0.718524,0.788853,6.283185
0.500000,4.781702,4.072965,3.415019,0.000000,-0.176516,1.084015,6.283185
