dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.752305,3.178666,1.779343,2.411992,1.838642,-0.951724,5.891003
0.020000,2.797356,3.159482,1.828309,2.448292,1.814982,-1.183022,5.870186
0.020000,2.842644,3.139058,1.877989,2.484011,1.785977,-1.450220,5.848821
0.020000,2.888113,3.117358,1.928371,2.519075,1.753198,-1.638957,5.826945
0.020000,2.933703,3.094349,1.979438,2.553367,1.714590,-1.930430,5.804602
0.020000,2.979352,3.070002,2.031174,2.586811,1.672207,-2.119127,5.781838
0.020000,3.024998,3.044295,2.083561,2.619324,1.625647,-2.327990,5.758706
0.020000,3.070574,3.017211,2.136578,2.650832,1.575403,-2.512210,5.735263
0.020000,3.116015,2.988736,2.190203,2.681277,1.522232,-2.658572,5.711569
0.020000,3.161255,2.958865,2.244415,2.710613,1.466792,-2.771963,5.687686
0.020000,3.206230,2.927597,2.299191,2.738798,1.409256,-2.876803,5.663679
0.020000,3.250877,2.894938,2.354508,2.765842,1.352229,-2.851346,5.639611
0.020000,3.291911,2.863459,2.406226,2.585872,-8.998507,-517.536828,5.621666
0.020000,3.328771,2.834854,2.452884,2.332903,-12.648461,-182.497700,5.624875
0.020000,3.365963,2.806201,2.499832,2.347441,0.726910,668.768568,5.628726
0.020000,3.403498,2.777533,2.547063,2.361537,0.704775,-1.106740,5.633246
0.020000,3.441390,2.748884,2.594567,2.375166,0.681483,-1.164595,5.638460
0.020000,3.479651,2.720288,2.642333,2.388309,0.657156,-1.216345,5.644396
0.020000,3.518295,2.691785,2.690352,2.400942,0.631620,-1.276804,5.651083
0.020000,3.557336,2.663414,2.738612,2.413043,0.605076,-1.327201,5.658550
0.020000,3.596786,2.635216,2.787104,2.424593,0.577490,-1.379337,5.666829
0.020000,3.636660,2.607236,2.835816,2.435574,0.549021,-1.423429,5.675950
0.020000,3.676971,2.579521,2.884735,2.445970,0.519804,-1.460836,5.685948
0.020000,3.717733,2.552120,2.933851,2.455769,0.489978,-1.491293,5.696856
0.020000,3.758957,2.525083,2.983150,2.464969,0.460004,-1.498704,5.708708
0.020000,3.800656,2.498464,3.032621,2.473571,0.430064,-1.497013,5.721536
0.020000,3.842843,2.472319,3.082253,2.481584,0.400674,-1.469517,5.735375
0.020000,3.885529,2.446705,3.132034,2.489033,0.372429,-1.412217,5.750256
